game,date,age,team,opp,result,mp,fg,fga,fgp,three,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,minus_plus
22,12/17/1991,28-303,CHI,LAL,L (-13),38:00:00,6,20,0.3,0,3,0,9,10,0.9,0,4,4,7,3,3,0,21,19,
23,12/20/1991,28-306,CHI,NJN,W (+17),30:00:00,8,18,0.444,0,0,,8,8,1,1,4,5,4,1,2,0,24,21.7,
24,12/21/1991,28-307,CHI,ATL,W (+14),43:00:00,16,24,0.667,2,2,1,3,3,1,1,8,9,10,4,1,3,37,37.6,
25,12/25/1991,28-311,CHI,BOS,W (+22),35:00:00,6,14,0.429,0,1,0,2,2,1,1,7,8,5,2,3,2,14,14.2,
26,12/26/1991,28-312,CHI,ATL,W (+11),44:00:00,15,31,0.484,1,2,0.5,3,4,0.75,1,2,3,6,2,3,4,34,23.1,
27,12/28/1991,28-314,CHI,SAC,W (+9),36:00:00,11,20,0.55,0,1,0,11,12,0.917,0,2,2,8,3,3,6,33,26.3,
28,12/30/1991,28-316,CHI,IND,W (+5),44:00:00,10,19,0.526,0,1,0,9,11,0.818,2,4,6,7,3,2,4,29,25.2,
29,1/3/1992,28-320,CHI,MIL,L (-5),40:00:00,19,29,0.655,0,2,0,6,8,0.75,2,4,6,7,1,0,1,44,36.4,
30,1/4/1992,28-321,CHI,NJN,W (+44),32:00:00,12,20,0.6,0,0,,3,4,0.75,2,3,5,1,1,2,0,27,22.4,
31,1/7/1992,28-324,CHI,WSB,W (+13),37:00:00,7,15,0.467,1,1,1,6,6,1,0,5,5,9,4,1,3,21,21.6,
32,1/8/1992,28-325,CHI,MIA,W (+2),47:00:00,17,27,0.63,0,0,,6,9,0.667,0,6,6,8,1,2,4,40,31.3,
33,1/10/1992,28-327,CHI,UTA,W (+15),37:00:00,15,25,0.6,1,2,0.5,6,6,1,1,4,5,4,1,1,2,37,28.7,
34,1/11/1992,28-328,CHI,MIA,W (+9),39:00:00,10,19,0.526,0,0,,10,10,1,0,6,6,7,1,1,1,30,26.5,
35,1/14/1992,28-331,CHI,PHI,W (+23),33:00:00,11,20,0.55,0,1,0,4,4,1,0,5,5,4,5,2,2,26,25.1,
36,1/16/1992,28-333,CHI,CLE,W (+15),39:00:00,15,26,0.577,0,2,0,5,6,0.833,0,4,4,8,2,1,2,35,28.3,
37,1/17/1992,28-334,CHI,SAS,W (+6),38:00:00,10,23,0.435,1,1,1,10,10,1,0,4,4,8,1,0,1,31,24.5,
38,1/19/1992,28-336,CHI,DET,W (+2),45:00:00,12,27,0.444,0,2,0,10,14,0.714,0,6,6,6,2,0,3,34,22.1,
39,1/21/1992,28-338,CHI,PHO,W (+6),41:00:00,13,23,0.565,0,0,,4,5,0.8,2,3,5,7,5,1,4,30,26.4,
40,1/22/1992,28-339,CHI,CHH,W (+3),43:00:00,7,18,0.389,1,2,0.5,8,8,1,2,4,6,4,2,2,5,23,16.2,
41,1/24/1992,28-341,CHI,DET,W (+24),30:00:00,9,14,0.643,0,0,,2,2,1,1,1,2,5,0,2,2,20,17.7,
42,1/25/1992,28-342,CHI,HOU,W (+14),41:00:00,12,27,0.444,3,3,1,8,10,0.8,0,3,3,5,4,1,4,35,24.4,
43,1/28/1992,28-345,CHI,SAS,L (-5),44:00:00,15,31,0.484,0,1,0,9,11,0.818,0,9,9,7,4,0,3,39,29.9,
44,1/30/1992,28-347,CHI,HOU,L (-3),43:00:00,9,26,0.346,0,1,0,4,4,1,2,3,5,5,3,0,1,22,14,
45,1/31/1992,28-348,CHI,DAL,W (+15),37:00:00,10,17,0.588,0,1,0,5,6,0.833,2,8,10,9,1,0,1,25,25.6,
46,2/2/1992,28-350,CHI,LAL,W (+6),44:00:00,13,27,0.481,1,1,1,6,8,0.75,0,8,8,11,2,0,5,33,24,
47,2/3/1992,28-351,CHI,UTA,L (-3),56:00:00,13,34,0.382,1,1,1,7,9,0.778,2,11,13,8,2,1,2,34,23.6,
48,2/11/1992,28-359,CHI,NJN,W (+20),34:00:00,13,23,0.565,0,0,,8,9,0.889,1,5,6,7,4,2,3,34,31.4,
49,2/13/1992,28-361,CHI,NYK,W (+21),35:00:00,4,15,0.267,0,0,,9,11,0.818,0,2,2,5,1,0,1,17,11,
50,2/15/1992,28-363,CHI,NYK,W (+1),42:00:00,9,24,0.375,0,0,,11,12,0.917,1,4,5,2,2,2,3,29,17.9,
51,2/17/1992,29-000,CHI,CLE,L (-1),43:00:00,21,32,0.656,0,1,0,4,5,0.8,1,3,4,6,0,0,3,46,34,
52,2/19/1992,29-002,CHI,ORL,W (+13),38:00:00,11,23,0.478,0,1,0,5,7,0.714,5,5,10,8,2,0,3,27,23.7,
53,2/21/1992,29-004,CHI,ATL,W (+15),46:00:00,14,23,0.609,0,0,,5,6,0.833,1,9,10,14,4,0,4,33,34.5,
54,2/22/1992,29-005,CHI,MIN,W (+15),35:00:00,13,27,0.481,0,3,0,4,6,0.667,2,4,6,8,1,2,1,30,24.3,
