game,date,age,team,opp,result,mp,fg,fga,fgp,three,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,minus_plus
51,2/23/1993,30-006,CHI,MIL,W (+4),41:00:00,15,26,0.577,0,1,0,4,6,0.667,1,2,3,4,3,1,2,34,25.6,
52,2/25/1993,30-008,CHI,ORL,W (+2),41:00:00,13,29,0.448,1,3,0.333,9,10,0.9,0,4,4,4,4,0,2,36,25.3,
53,2/27/1993,30-010,CHI,ATL,W (+20),36:00:00,13,27,0.481,3,4,0.75,5,5,1,2,7,9,8,2,0,2,34,29,
54,3/2/1993,30-013,CHI,NJN,W (+7),40:00:00,8,17,0.471,1,3,0.333,7,9,0.778,3,6,9,8,1,0,6,24,17.4,
55,3/9/1993,30-020,CHI,SEA,W (+3),41:00:00,15,28,0.536,0,3,0,8,9,0.889,2,2,4,9,6,1,2,38,35.8,
56,3/11/1993,30-022,CHI,MIA,L (-2),38:00:00,11,25,0.44,1,2,0.5,6,6,1,0,5,5,8,0,0,1,29,20,
57,3/12/1993,30-023,CHI,CHH,W (+15),43:00:00,21,35,0.6,2,4,0.5,8,9,0.889,3,6,9,5,2,1,0,52,44.4,
58,3/14/1993,30-025,CHI,DET,L (-2),43:00:00,11,25,0.44,1,3,0.333,5,6,0.833,0,5,5,6,1,0,0,28,20.8,
59,3/15/1993,30-026,CHI,LAC,W (+7),38:00:00,10,22,0.455,0,1,0,3,4,0.75,3,6,9,4,4,0,7,23,13.7,
60,3/19/1993,30-030,CHI,WSB,W (+5),39:00:00,9,27,0.333,0,0,,7,7,1,1,2,3,5,2,1,0,25,15.6,
61,3/20/1993,30-031,CHI,WSB,W (+25),31:00:00,16,27,0.593,2,2,1,13,15,0.867,0,8,8,4,2,0,1,47,39.1,
62,3/23/1993,30-034,CHI,MIN,W (+7),42:00:00,12,21,0.571,4,6,0.667,6,6,1,1,4,5,7,5,1,3,34,33.2,
63,3/24/1993,30-035,CHI,PHI,W (+13),39:00:00,20,29,0.69,2,4,0.5,1,2,0.5,0,2,2,4,3,0,5,43,30.9,
64,3/26/1993,30-037,CHI,ORL,W (+21),33:00:00,5,14,0.357,0,0,,8,8,1,0,7,7,6,2,0,1,18,17.1,
65,3/30/1993,30-041,CHI,PHO,L (-4),40:00:00,19,31,0.613,0,6,0,6,7,0.857,0,3,3,5,4,0,3,44,34.5,
66,4/2/1993,30-044,CHI,NJN,W (+13),38:00:00,16,24,0.667,0,0,,8,9,0.889,1,6,7,7,9,1,5,40,40.1,
67,4/4/1993,30-046,CHI,BOS,W (+12),40:00:00,14,23,0.609,1,1,1,3,6,0.5,1,4,5,2,2,0,4,32,20.8,
68,4/6/1993,30-048,CHI,MIL,L (-4),44:00:00,13,30,0.433,1,6,0.167,3,4,0.75,1,4,5,6,4,0,5,30,17.3,
69,4/9/1993,30-051,CHI,ATL,W (+1),44:00:00,12,23,0.522,1,3,0.333,5,5,1,1,11,12,4,4,2,7,30,23.1,
70,4/10/1993,30-052,CHI,IND,W (+5),42:00:00,11,25,0.44,0,1,0,3,4,0.75,2,4,6,5,5,0,3,25,18.4,
71,4/12/1993,30-054,CHI,DET,W (+3),41:00:00,9,21,0.429,0,4,0,5,5,1,0,6,6,4,2,0,3,23,14.3,
72,4/14/1993,30-056,CHI,MIA,W (+27),31:00:00,12,19,0.632,3,4,0.75,7,7,1,1,3,4,4,2,0,1,34,29.7,
73,4/16/1993,30-058,CHI,MIL,W (+14),35:00:00,15,25,0.6,0,3,0,17,21,0.81,1,6,7,5,5,0,1,47,43.5,
74,4/18/1993,30-060,CHI,CLE,L (-9),45:00:00,13,26,0.5,0,3,0,6,7,0.857,1,0,1,9,0,1,3,32,22.1,
75,4/20/1993,30-062,CHI,PHI,W (+29),27:00:00,12,22,0.545,3,6,0.5,1,1,1,1,2,3,4,8,0,1,28,28.1,
76,4/22/1993,30-064,CHI,DET,W (+6),46:00:00,15,27,0.556,0,1,0,6,11,0.545,1,6,7,4,4,0,2,36,26.8,
77,4/23/1993,30-065,CHI,CHH,L (-1),38:00:00,15,27,0.556,1,2,0.5,7,8,0.875,1,3,4,3,0,0,2,38,25.2,
78,4/25/1993,30-067,CHI,NYK,L (-5),37:00:00,10,28,0.357,0,2,0,1,3,0.333,5,1,6,7,1,1,4,21,10.6,
1,3/19/1995,32-030,CHI,IND,L (-7),43:00:00,7,28,0.25,0,4,0,5,6,0.833,2,4,6,6,3,0,3,19,7.4,
2,3/22/1995,32-033,CHI,BOS,W (+17),26:00:00,9,17,0.529,1,3,0.333,8,8,1,0,3,3,3,2,1,0,27,22.8,
3,3/24/1995,32-035,CHI,ORL,L (-7),44:00:00,7,23,0.304,0,2,0,7,11,0.636,0,4,4,8,5,2,2,21,16.5,
4,3/25/1995,32-036,CHI,ATL,W (+1),43:00:00,14,26,0.538,0,1,0,4,4,1,0,4,4,2,1,0,0,32,22.2,
5,3/28/1995,32-039,CHI,NYK,W (+2),39:00:00,21,37,0.568,3,4,0.75,10,11,0.909,0,4,4,2,1,0,2,55,37.5,
6,3/30/1995,32-041,CHI,BOS,W (+18),39:00:00,8,17,0.471,2,2,1,5,7,0.714,0,11,11,6,0,0,4,23,16.2,
7,4/1/1995,32-043,CHI,PHI,W (+7),35:00:00,5,19,0.263,0,1,0,2,4,0.5,1,4,5,6,1,1,3,12,3.9,
8,4/5/1995,32-047,CHI,NJN,W (+7),43:00:00,13,31,0.419,1,1,1,10,14,0.714,3,8,11,2,3,1,2,37,25.3,
9,4/7/1995,32-049,CHI,CLE,W (+9),42:00:00,9,27,0.333,1,2,0.5,9,10,0.9,0,8,8,9,2,1,4,28,17.7,
10,4/9/1995,32-051,CHI,CLE,L (-1),46:00:00,9,26,0.346,2,3,0.667,1,2,0.5,4,5,9,5,1,1,3,21,11.7,
11,4/11/1995,32-053,CHI,IND,W (+7),42:00:00,8,27,0.296,1,1,1,8,10,0.8,2,9,11,6,1,2,1,25,16.6,
12,4/12/1995,32-054,CHI,DET,W (+11),44:00:00,12,23,0.522,1,2,0.5,4,4,1,1,8,9,9,0,0,4,29,21.5,
13,4/16/1995,32-058,CHI,NYK,W (+21),37:00:00,8,19,0.421,0,0,,12,14,0.857,4,2,6,4,3,1,1,28,25.2,
14,4/17/1995,32-059,CHI,MIA,W (+5),40:00:00,9,21,0.429,0,0,,13,16,0.813,0,5,5,4,3,0,1,31,24.2,
15,4/20/1995,32-062,CHI,DET,W (+15),27:00:00,8,18,0.444,0,0,,1,1,1,4,4,8,7,1,2,0,17,18.1,
16,4/22/1995,32-064,CHI,CHH,W (+16),33:00:00,8,16,0.5,0,2,0,3,4,0.75,0,2,2,4,0,0,1,19,12.6,
17,4/23/1995,32-065,CHI,MIL,L (-4),45:00:00,11,29,0.379,4,4,1,7,10,0.7,4,7,11,7,3,1,4,33,23.8,
1,11/3/1995,32-259,CHI,CHH,W (+14),39:00:00,16,29,0.552,3,7,0.429,7,9,0.778,1,5,6,7,0,0,1,42,31.8,
2,11/4/1995,32-260,CHI,BOS,W (+22),21:00,5,12,0.417,0,1,0,5,7,0.714,0,0,0,3,3,1,0,15,12,
3,11/7/1995,32-263,CHI,TOR,W (+9),40:00:00,13,19,0.684,3,4,0.75,9,9,1,1,3,4,5,4,0,1,38,37.2,
4,11/9/1995,32-265,CHI,CLE,W (+18),37:00:00,12,24,0.5,4,8,0.5,1,2,0.5,0,5,5,3,0,0,3,29,16,
5,11/11/1995,32-267,CHI,POR,W (+4),40:00:00,11,23,0.478,0,2,0,14,15,0.933,2,1,3,7,1,1,3,36,28,
6,11/14/1995,32-270,CHI,ORL,L (-6),40:00:00,8,20,0.4,3,7,0.429,4,5,0.8,2,5,7,6,2,0,2,23,17.3,
7,11/15/1995,32-271,CHI,CLE,W (+19),29:00:00,7,10,0.7,1,2,0.5,5,7,0.714,1,6,7,2,1,0,1,20,18.1,
8,11/17/1995,32-273,CHI,NJN,W (+15),35:00:00,7,16,0.438,0,1,0,4,4,1,1,2,3,3,4,0,5,18,10.8,
9,11/21/1995,32-277,CHI,DAL,W (+6),45:00:00,12,25,0.48,0,2,0,12,13,0.923,0,8,8,5,2,2,0,36,31,
10,11/22/1995,32-278,CHI,SAS,W (+9),43:00:00,15,27,0.556,1,1,1,7,8,0.875,2,7,9,2,4,0,5,38,26.6,
11,11/24/1995,32-280,CHI,UTA,W (+5),40:00:00,9,21,0.429,2,5,0.4,14,17,0.824,0,8,8,6,1,0,4,34,24.1,
12,11/26/1995,32-282,CHI,SEA,L (-5),40:00:00,6,19,0.316,0,4,0,10,11,0.909,2,3,5,4,2,0,4,22,13.4,
13,11/27/1995,32-283,CHI,POR,W (+3),41:00:00,13,22,0.591,0,3,0,7,8,0.875,1,2,3,8,4,0,4,33,28.1,
14,11/30/1995,32-286,CHI,VAN,W (+6),39:00:00,14,26,0.538,0,2,0,1,2,0.5,1,2,3,4,3,0,2,29,20.7,
15,12/2/1995,32-288,CHI,LAC,W (+6),43:00:00,13,22,0.591,0,2,0,11,14,0.786,5,6,11,5,4,1,2,37,35.9,
16,12/6/1995,32-292,CHI,NYK,W (+7),45:00:00,8,27,0.296,0,0,,6,6,1,0,3,3,8,0,0,0,22,11.6,
17,12/8/1995,32-294,CHI,SAS,W (+19),36:00:00,11,23,0.478,0,1,0,6,6,1,1,4,5,6,3,1,1,28,23.5,
18,12/9/1995,32-295,CHI,MIL,W (+12),42:00:00,16,28,0.571,0,0,,13,16,0.813,3,2,5,4,2,0,2,45,34.9,
19,12/13/1995,32-299,CHI,ORL,W (+9),43:00:00,15,30,0.5,4,7,0.571,2,6,0.333,3,3,6,2,2,1,4,36,21.3,
20,12/14/1995,32-300,CHI,ATL,W (+19),31:00:00,8,16,0.5,1,4,0.25,5,5,1,1,2,3,1,0,0,3,22,11.8,
21,12/16/1995,32-302,CHI,LAL,W (+20),38:00:00,5,20,0.25,0,1,0,10,10,1,2,5,7,6,5,1,3,20,17,
22,12/18/1995,32-304,CHI,BOS,W (+9),40:00:00,16,27,0.593,0,1,0,5,8,0.625,0,6,6,3,5,0,2,37,29.4,
23,12/19/1995,32-305,CHI,DAL,W (+13),36:00:00,12,23,0.522,0,1,0,8,8,1,1,3,4,4,1,0,0,32,25.7,
24,12/22/1995,32-308,CHI,TOR,W (+9),40:00:00,9,19,0.474,2,3,0.667,7,7,1,3,7,10,5,3,0,2,27,25.6,
25,12/23/1995,32-309,CHI,UTA,W (+14),37:00:00,12,22,0.545,1,2,0.5,5,5,1,1,6,7,8,3,1,2,30,28.4,
26,12/26/1995,32-312,CHI,IND,L (-6),43:00:00,11,28,0.393,1,2,0.5,7,9,0.778,2,8,10,4,1,2,2,30,19.8,
27,12/29/1995,32-315,CHI,IND,W (+27),36:00:00,8,20,0.4,0,2,0,13,18,0.722,3,4,7,3,3,0,4,29,19,
28,12/30/1995,32-316,CHI,ATL,W (+2),42:00:00,14,27,0.519,1,2,0.5,4,6,0.667,2,5,7,6,4,1,5,33,24.5,
29,1/3/1996,32-320,CHI,HOU,W (+14),40:00:00,17,29,0.586,1,1,1,3,4,0.75,3,5,8,5,3,0,1,38,32,
30,1/4/1996,32-321,CHI,CHH,W (+24),34:00:00,11,20,0.55,0,1,0,5,7,0.714,1,4,5,5,1,0,1,27,21.6,
31,1/6/1996,32-323,CHI,MIL,W (+29),37:00:00,10,20,0.5,2,4,0.5,10,12,0.833,1,1,2,3,3,1,0,32,27.2,
32,1/10/1996,32-327,CHI,SEA,W (+26),36:00:00,14,25,0.56,1,2,0.5,6,7,0.857,1,13,14,5,0,1,4,35,26.7,
33,1/13/1996,32-330,CHI,PHI,W (+27),34:00:00,18,28,0.643,5,7,0.714,7,7,1,3,7,10,2,1,1,2,48,40.5,
34,1/15/1996,32-332,CHI,WSB,W (+7),39:00:00,16,31,0.516,3,7,0.429,11,11,1,0,4,4,2,1,0,5,46,27.3,
35,1/16/1996,32-333,CHI,PHI,W (+12),32:00:00,13,22,0.591,2,6,0.333,4,6,0.667,3,4,7,2,3,0,1,32,27.3,
36,1/18/1996,32-335,CHI,TOR,W (+3),43:00:00,14,28,0.5,4,8,0.5,6,8,0.75,4,5,9,2,1,0,1,38,28.9,
37,1/21/1996,32-338,CHI,DET,W (+15),43:00:00,12,23,0.522,3,5,0.6,9,11,0.818,3,5,8,4,2,1,3,36,29.6,
38,1/23/1996,32-340,CHI,NYK,W (+20),36:00:00,13,23,0.565,3,4,0.75,4,5,0.8,1,5,6,4,3,0,2,33,27.3,
39,1/24/1996,32-341,CHI,VAN,W (+20),26:00:00,4,10,0.4,0,1,0,4,6,0.667,1,2,3,6,0,0,1,12,8.7,
40,1/26/1996,32-343,CHI,MIA,W (+22),35:00:00,10,21,0.476,1,3,0.333,4,5,0.8,4,5,9,4,3,2,8,25,15.8,
41,1/28/1996,32-345,CHI,PHO,W (+11),42:00:00,13,25,0.52,0,2,0,5,7,0.714,3,3,6,6,3,1,2,31,24.8,
42,1/30/1996,32-347,CHI,HOU,W (+11),43:00:00,7,26,0.269,1,6,0.167,7,8,0.875,3,5,8,1,4,0,2,22,11.3,
43,2/1/1996,32-349,CHI,SAC,W (+20),38:00:00,7,16,0.438,0,1,0,13,14,0.929,0,2,2,1,2,1,4,27,16.6,
44,2/2/1996,32-350,CHI,LAL,W (+15),39:00:00,8,17,0.471,0,0,,1,1,1,3,4,7,7,1,0,3,17,13.7,
45,2/4/1996,32-352,CHI,DEN,L (-6),42:00:00,13,29,0.448,4,7,0.571,9,11,0.818,0,3,3,4,3,1,4,39,26.1,
46,2/6/1996,32-354,CHI,PHO,L (-10),40:00:00,9,22,0.409,0,2,0,10,17,0.588,2,0,2,6,3,0,3,28,17,
47,2/7/1996,32-355,CHI,GSW,W (+4),46:00:00,15,31,0.484,0,0,,10,13,0.769,6,5,11,6,3,2,2,40,34.2,
48,2/13/1996,32-361,CHI,WSB,W (+13),36:00:00,11,23,0.478,2,3,0.667,8,10,0.8,2,7,9,3,0,0,4,32,20.3,
49,2/15/1996,32-363,CHI,DET,W (+3),49:00:00,10,30,0.333,0,1,0,12,12,1,2,6,8,5,3,0,1,32,22.9,
50,2/16/1996,32-364,CHI,MIN,W (+3),38:00:00,13,23,0.565,4,4,1,5,5,1,1,6,7,4,0,1,2,35,27.7,
51,2/18/1996,33-001,CHI,IND,W (+8),42:00:00,16,29,0.552,3,4,0.75,9,10,0.9,4,1,5,7,3,2,3,44,38.3,
52,2/20/1996,33-003,CHI,CLE,W (+26),35:00:00,6,19,0.316,0,0,,2,3,0.667,3,6,9,6,0,0,0,14,9.6,
53,2/22/1996,33-005,CHI,ATL,W (+5),43:00:00,15,26,0.577,2,2,1,2,2,1,1,2,3,3,0,1,2,34,23.9,
54,2/23/1996,33-006,CHI,MIA,L (-9),40:00:00,9,21,0.429,1,4,0.25,12,13,0.923,3,6,9,5,4,0,3,31,26.3,
55,2/25/1996,33-008,CHI,ORL,W (+20),40:00:00,8,19,0.421,1,1,1,6,8,0.75,2,3,5,7,2,0,1,23,19.5,
56,2/27/1996,33-010,CHI,MIN,W (+21),41:00:00,11,24,0.458,2,3,0.667,11,12,0.917,2,4,6,7,2,0,1,35,29.9,
57,3/1/1996,33-013,CHI,GSW,W (+23),35:00:00,7,17,0.412,1,3,0.333,2,3,0.667,0,3,3,6,6,0,3,17,15.2,
58,3/2/1996,33-014,CHI,BOS,W (+32),32:00:00,8,15,0.533,0,2,0,5,8,0.625,3,5,8,8,4,1,1,21,25.4,
59,3/5/1996,33-017,CHI,MIL,W (+9),32:00:00,12,20,0.6,4,5,0.8,5,6,0.833,4,4,8,4,2,0,3,33,29.2,
60,3/7/1996,33-019,CHI,DET,W (+21),38:00:00,21,28,0.75,2,4,0.5,9,10,0.9,2,9,11,2,6,0,4,53,47.7,
61,3/10/1996,33-022,CHI,NYK,L (-32),43:00:00,12,26,0.462,2,4,0.5,6,7,0.857,1,7,8,3,1,1,7,32,16.6,
62,3/13/1996,33-025,CHI,WSB,W (+17),36:00:00,12,25,0.48,2,6,0.333,11,12,0.917,0,6,6,5,1,0,3,37,26.4,
63,3/15/1996,33-027,CHI,DEN,W (+21),36:00:00,14,22,0.636,3,5,0.6,2,3,0.667,0,6,6,3,3,2,3,33,27.3,
64,3/16/1996,33-028,CHI,NJN,W (+4),43:00:00,14,29,0.483,2,5,0.4,7,7,1,2,14,16,5,1,3,0,37,32.9,
65,3/18/1996,33-030,CHI,PHI,W (+4),47:00:00,15,32,0.469,0,5,0,8,10,0.8,2,9,11,4,1,0,2,38,24.7,
66,3/19/1996,33-031,CHI,SAC,W (+22),35:00:00,7,16,0.438,0,3,0,6,6,1,2,7,9,3,2,0,6,20,12,
67,3/21/1996,33-033,CHI,NYK,W (+21),37:00:00,14,24,0.583,1,4,0.25,7,7,1,0,11,11,5,1,0,1,36,30.4,
68,3/24/1996,33-036,CHI,TOR,L (-1),39:00:00,14,22,0.636,0,1,0,8,8,1,5,4,9,2,0,2,2,36,30.5,
69,3/28/1996,33-040,CHI,ATL,W (+31),30:00:00,5,12,0.417,0,1,0,3,6,0.5,0,5,5,7,1,1,0,13,12.3,
70,3/30/1996,33-042,CHI,LAC,W (+21),34:00:00,6,15,0.4,0,1,0,9,10,0.9,4,5,9,6,2,0,1,21,21.6,
71,4/2/1996,33-045,CHI,MIA,W (+18),37:00:00,11,23,0.478,2,3,0.667,8,8,1,1,7,8,3,2,0,1,32,24.6,
72,4/4/1996,33-047,CHI,MIA,W (+8),41:00:00,13,24,0.542,1,4,0.25,13,16,0.813,3,4,7,3,4,2,4,40,33.2,
73,4/5/1996,33-048,CHI,CHH,W (+34),28:00:00,10,16,0.625,2,2,1,2,3,0.667,0,5,5,4,3,0,3,24,20.7,
74,4/7/1996,33-050,CHI,ORL,W (+4),44:00:00,10,30,0.333,2,4,0.5,5,5,1,1,2,3,1,2,0,1,27,12.2,
75,4/8/1996,33-051,CHI,CHH,L (-1),42:00:00,13,27,0.481,1,3,0.333,13,19,0.684,4,7,11,5,1,0,1,40,31.5,
76,4/11/1996,33-054,CHI,NJN,W (+13),26:00:00,8,18,0.444,0,1,0,1,4,0.25,3,4,7,3,3,0,3,17,11.8,
77,4/12/1996,33-055,CHI,PHI,W (+30),29:00:00,10,16,0.625,2,4,0.5,1,1,1,2,1,3,0,4,1,2,23,19.4,
78,4/14/1996,33-057,CHI,CLE,W (+26),35:00:00,11,18,0.611,4,7,0.571,6,6,1,3,9,12,3,1,0,3,32,28.7,
79,4/16/1996,33-059,CHI,MIL,W (+6),42:00:00,9,27,0.333,1,4,0.25,3,4,0.75,1,8,9,4,2,1,4,22,10.5,
80,4/18/1996,33-061,CHI,DET,W (+31),24:00:00,11,18,0.611,4,5,0.8,4,4,1,1,4,5,1,1,0,2,30,23,
81,4/20/1996,33-063,CHI,IND,L (-1),31:00:00,9,23,0.391,2,5,0.4,4,5,0.8,0,2,2,6,1,1,3,24,13,
82,4/21/1996,33-064,CHI,WSB,W (+10),24:00:00,11,22,0.5,1,3,0.333,3,3,1,1,3,4,4,4,0,1,26,22.4,
1,11/1/1996,33-258,CHI,BOS,W (+9),43:00:00,10,22,0.455,0,5,0,10,13,0.769,1,3,4,3,0,0,1,30,19.3,
2,11/2/1996,33-259,CHI,PHI,W (+29),30:00:00,11,20,0.55,3,7,0.429,2,2,1,1,1,2,5,4,0,2,27,23.1,
3,11/5/1996,33-262,CHI,VAN,W (+23),31:00:00,9,18,0.5,3,5,0.6,1,1,1,2,5,7,3,4,0,4,22,17.2,
4,11/6/1996,33-263,CHI,MIA,W (+6),40:00:00,18,33,0.545,1,2,0.5,13,14,0.929,1,5,6,0,1,1,0,50,37.2,
5,11/8/1996,33-265,CHI,DET,W (+18),36:00:00,6,14,0.429,1,3,0.333,2,2,1,1,3,4,8,1,0,0,15,14.6,
6,11/9/1996,33-266,CHI,BOS,W (+12),32:00:00,10,23,0.435,0,2,0,7,11,0.636,2,1,3,3,1,0,0,27,17.3,
7,11/11/1996,33-268,CHI,PHO,W (+18),35:00:00,12,21,0.571,1,1,1,1,2,0.5,1,1,2,5,1,1,3,26,18.5,
8,11/13/1996,33-270,CHI,MIA,W (+32),34:00:00,8,23,0.348,0,1,0,12,16,0.75,1,4,5,3,1,0,0,28,17.3,
9,11/15/1996,33-272,CHI,CHH,W (+23),29:00:00,15,25,0.6,4,5,0.8,4,4,1,0,1,1,2,1,1,1,38,28.1,
10,11/16/1996,33-273,CHI,ATL,W (+28),35:00:00,11,23,0.478,0,1,0,3,4,0.75,0,5,5,3,1,0,2,25,14.7,
11,11/20/1996,33-277,CHI,PHO,W (+14),35:00:00,16,29,0.552,0,0,,5,6,0.833,1,3,4,4,1,1,2,37,25.6,
12,11/21/1996,33-278,CHI,DEN,W (+18),34:00:00,12,23,0.522,0,2,0,7,7,1,4,3,7,3,2,1,2,31,25.4,
13,11/23/1996,33-280,CHI,UTA,L (-5),39:00:00,17,32,0.531,0,6,0,10,12,0.833,1,5,6,4,2,1,2,44,32.1,
14,11/25/1996,33-282,CHI,LAC,W (+4),43:00:00,14,26,0.538,1,3,0.333,11,12,0.917,1,6,7,2,2,4,2,40,32.5,
15,11/29/1996,33-286,CHI,DAL,W (+19),40:00:00,13,23,0.565,4,5,0.8,6,6,1,0,7,7,4,2,0,2,36,29.6,
16,11/30/1996,33-287,CHI,SAS,W (+9),38:00:00,14,35,0.4,2,5,0.4,5,5,1,0,9,9,3,0,0,1,35,19.9,
17,12/3/1996,33-290,CHI,MIL,W (+3),41:00:00,13,27,0.481,0,0,,14,17,0.824,2,4,6,6,0,0,3,40,28.5,
18,12/5/1996,33-292,CHI,LAC,W (+18),31:00:00,9,21,0.429,0,3,0,2,3,0.667,1,3,4,6,2,0,1,20,14.1,
19,12/7/1996,33-294,CHI,MIA,L (-3),42:00:00,16,30,0.533,0,3,0,5,6,0.833,1,8,9,3,0,0,0,37,26.8,
20,12/8/1996,33-295,CHI,TOR,L (-8),41:00:00,5,17,0.294,1,4,0.25,2,2,1,0,9,9,8,2,2,3,13,11.4,
21,12/11/1996,33-298,CHI,MIN,W (+17),36:00:00,10,16,0.625,1,1,1,6,6,1,0,7,7,3,3,0,1,27,26,
22,12/13/1996,33-300,CHI,NJN,W (+21),34:00:00,9,19,0.474,3,5,0.6,11,12,0.917,0,6,6,6,4,0,1,32,30.1,
23,12/14/1996,33-301,CHI,CHH,W (+5),41:00:00,10,26,0.385,0,3,0,9,12,0.75,2,7,9,5,5,0,1,29,24.6,
24,12/17/1996,33-304,CHI,LAL,W (+6),47:00:00,10,32,0.313,0,2,0,10,14,0.714,5,4,9,3,1,1,2,30,15.7,
25,12/19/1996,33-306,CHI,CHH,W (+21),36:00:00,13,27,0.481,3,8,0.375,6,7,0.857,5,3,8,1,1,1,2,35,25.7,
26,12/21/1996,33-308,CHI,PHI,W (+6),44:00:00,12,29,0.414,1,3,0.333,6,8,0.75,0,1,1,3,1,1,1,31,16.2,
27,12/23/1996,33-310,CHI,NJN,W (+32),33:00:00,10,18,0.556,0,1,0,4,4,1,2,1,3,4,0,0,3,24,16.5,
28,12/25/1996,33-312,CHI,DET,W (+12),46:00:00,9,21,0.429,0,4,0,5,7,0.714,6,4,10,2,1,0,4,23,13.7,
29,12/26/1996,33-313,CHI,ATL,L (-5),40:00:00,10,25,0.4,2,5,0.4,12,13,0.923,0,3,3,1,2,1,0,34,23.6,
30,12/28/1996,33-315,CHI,CLE,W (+5),42:00:00,13,25,0.52,0,1,0,19,20,0.95,2,5,7,5,3,0,4,45,36.1,
31,12/30/1996,33-317,CHI,IND,W (+2),40:00:00,12,29,0.414,1,5,0.2,3,4,0.75,3,4,7,4,1,0,3,28,15.8,
32,1/3/1997,33-321,CHI,ORL,W (+21),35:00:00,10,18,0.556,0,2,0,2,2,1,1,3,4,6,2,1,2,22,19.1,
33,1/6/1997,33-324,CHI,UTA,W (+13),40:00:00,8,20,0.4,2,3,0.667,5,6,0.833,3,5,8,3,3,1,1,23,19.8,
34,1/10/1997,33-328,CHI,MIL,W (+15),38:00:00,11,23,0.478,3,4,0.75,8,13,0.615,1,4,5,3,0,0,0,33,22.5,
35,1/11/1997,33-329,CHI,HOU,W (+24),39:00:00,12,25,0.48,4,6,0.667,4,4,1,0,6,6,7,2,0,3,32,24.6,
36,1/14/1997,33-332,CHI,WSB,W (+1),40:00:00,14,27,0.519,0,4,0,11,11,1,0,2,2,2,2,0,0,39,28.5,
37,1/15/1997,33-333,CHI,MIN,W (+10),35:00:00,12,22,0.545,1,5,0.2,0,0,,1,2,3,4,1,1,3,25,16.4,
38,1/17/1997,33-335,CHI,MIL,W (+27),36:00:00,10,15,0.667,1,2,0.5,3,4,0.75,1,6,7,11,2,0,1,24,27.5,
39,1/19/1997,33-337,CHI,HOU,L (-16),43:00:00,8,25,0.32,1,6,0.167,9,9,1,3,11,14,5,1,1,1,26,21.3,
40,1/21/1997,33-339,CHI,NYK,W (+1),43:00:00,18,30,0.6,5,8,0.625,10,11,0.909,1,3,4,4,2,0,2,51,40.8,
41,1/23/1997,33-341,CHI,CLE,W (+16),39:00:00,10,24,0.417,1,5,0.2,11,12,0.917,1,8,9,0,1,0,4,32,18.1,
42,1/25/1997,33-343,CHI,TOR,W (+12),31:00:00,10,16,0.625,3,4,0.75,1,2,0.5,1,2,3,4,2,0,0,24,22.1,
43,1/28/1997,33-346,CHI,VAN,W (+15),32:00:00,12,19,0.632,1,3,0.333,3,4,0.75,1,3,4,3,4,0,2,28,24.4,
44,1/30/1997,33-348,CHI,SAC,W (+18),40:00:00,11,19,0.579,1,5,0.2,9,10,0.9,0,6,6,2,3,0,2,32,25.7,
45,1/31/1997,33-349,CHI,GSW,W (+23),32:00:00,8,17,0.471,1,6,0.167,1,1,1,0,4,4,8,3,0,2,18,16.3,
46,2/2/1997,33-351,CHI,SEA,W (+7),45:00:00,19,28,0.679,2,3,0.667,5,6,0.833,3,4,7,3,1,0,1,45,37.2,
47,2/4/1997,33-353,CHI,POR,W (+4),41:00:00,15,30,0.5,1,4,0.25,5,5,1,1,4,5,2,1,2,0,36,25.5,
48,2/5/1997,33-354,CHI,LAL,L (-16),40:00:00,10,24,0.417,2,5,0.4,5,6,0.833,1,3,4,4,1,1,2,27,17.5,
49,2/11/1997,33-360,CHI,CHH,W (+3),42:00:00,16,24,0.667,1,2,0.5,10,14,0.714,0,5,5,4,3,0,5,43,32.5,
50,2/14/1997,33-363,CHI,ATL,W (+1),45:00:00,13,28,0.464,1,2,0.5,3,5,0.6,3,5,8,4,2,0,4,30,19.2,
51,2/16/1997,33-365,CHI,ORL,W (+21),38:00:00,8,20,0.4,3,4,0.75,0,0,,1,7,8,10,4,0,2,19,18.8,
52,2/18/1997,34-001,CHI,DEN,W (+11),32:00:00,10,18,0.556,1,3,0.333,3,4,0.75,2,3,5,12,3,0,0,24,27.5,
53,2/21/1997,34-004,CHI,WSB,W (+4),45:00:00,13,28,0.464,3,4,0.75,7,12,0.583,1,3,4,4,1,0,2,36,22.2,
54,2/22/1997,34-005,CHI,GSW,W (+33),31:00:00,13,19,0.684,5,8,0.625,3,4,0.75,1,4,5,1,3,0,2,34,28.7,
55,2/24/1997,34-007,CHI,POR,W (+27),30:00:00,13,27,0.481,3,7,0.429,8,9,0.889,1,3,4,3,0,0,1,37,25.2,
56,2/27/1997,34-010,CHI,CLE,L (-3),43:00:00,7,25,0.28,0,3,0,9,9,1,1,7,8,4,0,0,2,23,11.1,
57,2/28/1997,34-011,CHI,SAC,W (+18),35:00:00,13,20,0.65,5,7,0.714,4,5,0.8,1,8,9,6,1,1,2,35,32,
58,3/3/1997,34-014,CHI,MIL,W (+18),36:00:00,11,19,0.579,3,7,0.429,6,6,1,0,3,3,6,2,0,2,31,26.4,
