game,date,age,team,opp,result,mp,fg,fga,fgp,q,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,minus_plus
42,1/12/2018,33-013,CLE,IND,L (-2),40:27:00,11,25,0.44,2,9,0.222,3,4,0.75,2,6,8,11,3,1,5,27,22.3,-6
43,1/15/2018,33-016,CLE,GSW,L (-10),36:15:00,12,18,0.667,0,2,0,8,13,0.615,2,6,8,6,3,4,8,32,26.2,-14
44,1/18/2018,33-019,CLE,ORL,W (+1),34:47:00,7,16,0.438,0,4,0,2,8,0.25,1,4,5,6,1,0,6,16,5.9,-4
45,1/20/2018,33-021,CLE,OKC,L (-24),38:22:00,8,17,0.471,0,4,0,2,4,0.5,0,3,3,7,0,1,2,18,12.2,-33
46,1/23/2018,33-024,CLE,SAS,L (-12),37:57:00,10,23,0.435,2,6,0.333,6,10,0.6,2,7,9,7,0,1,5,28,18.4,-10
47,1/26/2018,33-027,CLE,IND,W (+7),39:55:00,11,17,0.647,0,2,0,4,5,0.8,0,10,10,11,4,1,11,26,22.5,12
48,1/28/2018,33-029,CLE,DET,W (+17),37:48:00,8,15,0.533,1,4,0.25,8,9,0.889,1,7,8,14,1,0,3,25,27.9,18
49,1/30/2018,33-031,CLE,DET,L (-11),37:45:00,9,20,0.45,2,7,0.286,1,2,0.5,0,6,6,7,0,1,4,21,12.8,-13
50,1/31/2018,33-032,CLE,MIA,W (+2),38:17:00,8,21,0.381,1,6,0.167,7,11,0.636,2,9,11,5,1,0,7,24,12.1,3
51,2/3/2018,33-035,CLE,HOU,L (-32),31:22:00,3,10,0.3,1,2,0.5,4,4,1,1,8,9,9,2,1,2,11,15.3,-17
52,2/6/2018,33-038,CLE,ORL,L (-18),33:05:00,10,17,0.588,2,4,0.5,3,4,0.75,1,9,10,5,1,0,6,25,17,-14
53,2/7/2018,33-039,CLE,MIN,W (+2),48:19:00,16,22,0.727,5,7,0.714,0,2,0,1,9,10,15,1,1,5,37,36.6,-1
54,2/9/2018,33-041,CLE,ATL,W (+16),40:43:00,8,20,0.4,0,3,0,6,7,0.857,2,10,12,19,0,0,3,22,24.7,12
55,2/11/2018,33-043,CLE,BOS,W (+22),27:54:00,9,20,0.45,2,5,0.4,4,7,0.571,0,8,8,10,1,1,2,24,21.1,23
56,2/13/2018,33-045,CLE,OKC,W (+8),39:44:00,14,23,0.609,3,7,0.429,6,10,0.6,0,8,8,8,0,1,5,37,28.2,-1
57,2/22/2018,33-054,CLE,WAS,L (-7),36:36:00,13,18,0.722,1,4,0.25,5,9,0.556,1,8,9,8,2,0,4,32,28.9,-10
58,2/23/2018,33-055,CLE,MEM,W (+23),36:40:00,7,16,0.438,0,2,0,4,4,1,0,14,14,11,1,0,3,18,19.5,18
59,2/25/2018,33-057,CLE,SAS,L (-16),39:58:00,14,25,0.56,2,5,0.4,3,4,0.75,2,11,13,9,1,0,6,33,25.5,-8
60,2/27/2018,33-059,CLE,BRK,W (+6),38:46:00,13,25,0.52,2,4,0.5,3,3,1,4,8,12,11,1,0,1,31,31.2,2
61,3/1/2018,33-061,CLE,PHI,L (-11),39:02:00,12,24,0.5,2,6,0.333,4,6,0.667,1,8,9,8,1,0,3,30,23.1,-8
62,3/3/2018,33-063,CLE,DEN,L (-9),42:23:00,8,19,0.421,1,4,0.25,8,11,0.727,1,9,10,15,2,0,3,25,25.8,-6
63,3/5/2018,33-065,CLE,DET,W (+22),28:44:00,11,17,0.647,5,7,0.714,4,6,0.667,2,5,7,7,1,0,3,31,27.7,14
64,3/7/2018,33-067,CLE,DEN,W (+5),39:08:00,15,25,0.6,5,8,0.625,4,8,0.5,1,7,8,10,1,0,3,39,32.9,8
65,3/9/2018,33-069,CLE,LAC,L (-14),38:53:00,11,20,0.55,3,7,0.429,0,2,0,0,10,10,6,2,3,5,25,20.1,-16
66,3/11/2018,33-071,CLE,LAL,L (-14),31:27:00,9,20,0.45,2,8,0.25,4,5,0.8,2,8,10,7,1,1,2,24,21.6,-13
67,3/13/2018,33-073,CLE,PHO,W (+22),33:13:00,7,14,0.5,1,2,0.5,13,15,0.867,0,12,12,11,3,2,5,28,30.1,23
68,3/15/2018,33-075,CLE,POR,L (-8),41:05:00,15,25,0.6,1,4,0.25,4,9,0.444,0,14,14,6,2,3,6,35,26.4,-3
69,3/17/2018,33-077,CLE,CHI,W (+5),39:53:00,15,26,0.577,2,8,0.25,1,4,0.25,1,12,13,12,1,2,6,33,27.5,-4
70,3/19/2018,33-079,CLE,MIL,W (+7),40:01:00,16,29,0.552,3,7,0.429,5,8,0.625,5,7,12,10,2,1,6,40,33.4,4
71,3/21/2018,33-081,CLE,TOR,W (+3),39:24:00,11,19,0.579,1,3,0.333,12,14,0.857,1,6,7,17,1,0,0,35,39.9,12
