game,date,age,team,opp,result,mp,fg,fga,fgp,q,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,minus_plus
9,11/13/2016,31-319,CLE,CHO,W (+7),38:42:00,8,21,0.381,2,5,0.4,1,2,0.5,0,8,8,8,1,1,3,19,13.8,12
10,11/15/2016,31-321,CLE,TOR,W (+4),38:04:00,10,15,0.667,2,5,0.4,6,10,0.6,0,9,9,15,1,0,5,28,28.3,1
11,11/18/2016,31-324,CLE,DET,W (+23),28:03:00,9,14,0.643,1,3,0.333,2,3,0.667,0,3,3,3,0,1,2,21,15.7,21
12,11/23/2016,31-329,CLE,POR,W (+12),37:30:00,11,21,0.524,2,3,0.667,7,8,0.875,1,9,10,13,3,0,3,31,32.8,17
13,11/25/2016,31-331,CLE,DAL,W (+38),29:03:00,6,13,0.462,2,5,0.4,5,5,1,0,5,5,11,1,0,4,19,18.1,33
14,11/27/2016,31-333,CLE,PHI,W (+4),41:30:00,9,19,0.474,1,4,0.25,7,9,0.778,2,8,10,13,1,0,5,26,24.4,2
15,11/29/2016,31-335,CLE,MIL,L (-17),32:53:00,8,16,0.5,3,8,0.375,3,7,0.429,0,4,4,4,0,0,7,22,8.2,-12
16,12/1/2016,31-337,CLE,LAC,L (-19),33:37:00,5,14,0.357,0,2,0,6,11,0.545,1,4,5,5,2,0,5,16,7.8,-20
17,12/2/2016,31-338,CLE,CHI,L (-6),44:40:00,13,22,0.591,1,3,0.333,0,0,,0,5,5,13,0,0,8,27,18.6,-3
18,12/5/2016,31-341,CLE,TOR,W (+4),42:01:00,12,26,0.462,2,7,0.286,8,9,0.889,3,5,8,7,2,0,1,34,28.9,9
19,12/7/2016,31-343,CLE,NYK,W (+32),32:27:00,7,10,0.7,1,2,0.5,10,14,0.714,2,4,6,7,1,2,4,25,24.3,32
20,12/9/2016,31-345,CLE,MIA,W (+30),37:19:00,12,22,0.545,1,3,0.333,2,4,0.5,2,6,8,8,3,0,3,27,23.6,21
21,12/10/2016,31-346,CLE,CHO,W (+11),42:27:00,17,24,0.708,5,10,0.5,5,9,0.556,1,8,9,10,3,1,5,44,40,-2
22,12/13/2016,31-349,CLE,MEM,W (+17),36:29:00,9,17,0.529,0,4,0,5,8,0.625,1,5,6,8,3,0,6,23,17.9,8
23,12/17/2016,31-353,CLE,LAL,W (+11),38:55:00,9,18,0.5,2,5,0.4,6,11,0.545,1,6,7,9,2,2,2,26,24.8,17
24,12/20/2016,31-356,CLE,MIL,W (+6),47:29:00,12,25,0.48,5,9,0.556,5,6,0.833,3,9,12,7,1,1,2,34,29.5,8
25,12/21/2016,31-357,CLE,MIL,W (+11),34:25:00,12,24,0.5,4,7,0.571,1,1,1,1,8,9,6,0,0,2,29,22.3,26
26,12/23/2016,31-359,CLE,BRK,W (+20),27:16:00,7,16,0.438,0,3,0,5,6,0.833,1,3,4,6,3,0,1,19,18,33
27,12/25/2016,31-361,CLE,GSW,W (+1),40:11:00,12,22,0.545,4,8,0.5,3,7,0.429,5,8,13,4,2,1,5,31,24.4,4
28,12/29/2016,31-365,CLE,BOS,W (+6),43:44:00,9,18,0.5,2,6,0.333,3,7,0.429,2,6,8,11,1,3,8,23,17.6,1
29,12/31/2016,32-001,CLE,CHO,W (+12),35:47:00,12,25,0.48,4,8,0.5,4,6,0.667,2,4,6,9,1,0,1,32,27,17
30,1/2/2017,32-003,CLE,NOP,W (+8),38:55:00,9,21,0.429,0,4,0,8,10,0.8,2,5,7,6,2,1,4,26,19.5,-4
31,1/4/2017,32-005,CLE,CHI,L (-12),36:53:00,12,21,0.571,1,2,0.5,6,9,0.667,2,6,8,7,1,0,5,31,23.2,-13
32,1/6/2017,32-007,CLE,BRK,W (+8),35:17:00,14,20,0.7,0,1,0,8,10,0.8,0,9,9,6,3,0,5,36,30.9,20
33,1/8/2017,32-009,CLE,PHO,W (+4),39:31:00,11,17,0.647,2,4,0.5,4,6,0.667,3,5,8,4,1,0,7,28,18.9,-2
34,1/10/2017,32-011,CLE,UTA,L (-8),36:55:00,10,20,0.5,3,6,0.5,6,7,0.857,1,5,6,5,4,0,4,29,24.3,-8
35,1/11/2017,32-012,CLE,POR,L (-16),30:31:00,5,12,0.417,2,5,0.4,8,9,0.889,1,10,11,4,1,1,5,20,16,-7
36,1/13/2017,32-014,CLE,SAC,W (+12),41:41:00,6,12,0.5,1,4,0.25,3,3,1,0,2,2,15,1,1,5,16,17,16
37,1/16/2017,32-017,CLE,GSW,L (-35),35:00:00,6,18,0.333,1,4,0.25,7,10,0.7,2,6,8,2,1,0,6,20,7.8,-32
38,1/19/2017,32-020,CLE,PHO,W (+15),39:08:00,8,12,0.667,0,2,0,5,8,0.625,0,9,9,15,1,2,4,21,25.4,14
39,1/21/2017,32-022,CLE,SAS,L (-3),45:20:00,11,16,0.688,2,5,0.4,5,7,0.714,0,6,6,7,2,0,7,29,21.1,-16
40,1/23/2017,32-024,CLE,NOP,L (-2),43:43:00,11,21,0.524,1,4,0.25,3,4,0.75,2,8,10,12,2,0,6,26,22.7,-10
41,1/25/2017,32-026,CLE,SAC,L (-4),44:49:00,8,15,0.533,0,3,0,8,11,0.727,4,9,13,11,2,1,5,24,25.2,-1
42,1/27/2017,32-028,CLE,BRK,W (+8),34:14:00,13,18,0.722,1,3,0.333,4,7,0.571,0,5,5,11,0,0,5,31,26.2,22
43,1/29/2017,32-030,CLE,OKC,W (+16),36:50:00,9,18,0.5,0,2,0,7,10,0.7,1,13,14,8,1,0,2,25,23.6,11
44,1/30/2017,32-031,CLE,DAL,L (-7),37:17:00,9,19,0.474,1,6,0.167,4,8,0.5,0,9,9,9,2,0,5,23,17.7,-8
45,2/1/2017,32-033,CLE,MIN,W (+28),34:28:00,11,14,0.786,1,2,0.5,4,7,0.571,0,8,8,12,2,1,2,27,31.5,16
46,2/4/2017,32-036,CLE,NYK,W (+7),39:35:00,12,20,0.6,4,8,0.5,4,5,0.8,0,5,5,10,0,0,5,32,25.5,11
47,2/6/2017,32-038,CLE,WAS,W (+5),42:04:00,12,18,0.667,6,8,0.75,2,5,0.4,0,7,7,17,2,2,6,32,32,0
48,2/8/2017,32-040,CLE,IND,W (+15),38:16:00,9,16,0.563,1,2,0.5,6,8,0.75,1,5,6,9,1,1,4,25,22,8
49,2/9/2017,32-041,CLE,OKC,L (-9),40:53:00,8,19,0.421,1,4,0.25,1,3,0.333,1,4,5,7,2,2,3,18,13.9,-4
50,2/11/2017,32-043,CLE,DEN,W (+16),33:09:00,11,16,0.688,1,1,1,4,4,1,0,5,5,12,2,0,6,27,25.7,26
51,2/14/2017,32-046,CLE,MIN,W (+8),39:30:00,10,14,0.714,2,3,0.667,3,6,0.5,1,7,8,14,0,0,6,25,23.4,10
52,2/15/2017,32-047,CLE,IND,W (+9),32:35:00,12,17,0.706,4,5,0.8,3,4,0.75,0,5,5,4,1,0,4,31,24,9
53,2/23/2017,32-055,CLE,NYK,W (+15),37:06:00,7,11,0.636,0,2,0,4,6,0.667,0,13,13,15,0,3,6,18,22.4,10
54,2/27/2017,32-059,CLE,MIL,W (+7),37:11:00,8,12,0.667,1,2,0.5,7,9,0.778,0,10,10,6,0,0,3,24,21.8,8
55,3/1/2017,32-061,CLE,BOS,L (-4),40:02:00,10,21,0.476,3,6,0.5,5,8,0.625,5,8,13,10,1,1,4,28,25.5,-3
56,3/3/2017,32-063,CLE,ATL,W (+5),39:10:00,14,27,0.519,6,10,0.6,4,8,0.5,1,12,13,8,0,0,2,38,29.4,5
57,3/6/2017,32-066,CLE,MIA,L (-8),38:41:00,11,22,0.5,2,5,0.4,6,10,0.6,3,14,17,6,1,1,3,30,25.8,14
58,3/9/2017,32-069,CLE,DET,L (-5),39:05:00,12,22,0.545,0,6,0,5,8,0.625,4,10,14,10,1,0,3,29,27.6,18
59,3/11/2017,32-071,CLE,ORL,W (+12),37:34:00,8,14,0.571,2,5,0.4,6,10,0.6,0,12,12,12,0,1,4,24,23.3,12
60,3/12/2017,32-072,CLE,HOU,L (-5),40:10:00,12,20,0.6,4,11,0.364,2,3,0.667,0,7,7,5,2,0,8,30,19.2,-9
61,3/14/2017,32-074,CLE,DET,W (+32),28:24:00,6,12,0.5,0,2,0,4,5,0.8,0,11,11,12,0,0,2,16,19.3,22
62,3/16/2017,32-076,CLE,UTA,W (+8),38:15:00,13,20,0.65,2,5,0.4,5,10,0.5,0,10,10,6,2,1,6,33,26.1,14
63,3/19/2017,32-079,CLE,LAL,W (+5),37:51:00,13,22,0.591,3,8,0.375,5,8,0.625,0,6,6,7,1,0,3,34,26.5,12
64,3/22/2017,32-082,CLE,DEN,L (-13),34:10:00,8,12,0.667,0,2,0,2,4,0.5,2,4,6,5,0,0,4,18,13.7,-30
65,3/24/2017,32-084,CLE,CHO,W (+7),39:54:00,9,14,0.643,0,1,0,14,16,0.875,0,9,9,11,1,2,4,32,33,1
66,3/25/2017,32-085,CLE,WAS,L (-12),40:35:00,10,21,0.476,0,4,0,4,6,0.667,3,8,11,8,0,1,3,24,19.5,-11
67,3/27/2017,32-087,CLE,SAS,L (-29),29:32:00,7,17,0.412,0,3,0,3,6,0.5,3,5,8,8,0,0,2,17,12.7,-13
68,3/30/2017,32-090,CLE,CHI,L (-6),39:07:00,11,20,0.55,1,7,0.143,3,7,0.429,1,9,10,8,1,1,4,26,21.5,-3
69,3/31/2017,32-091,CLE,PHI,W (+17),29:56:00,14,22,0.636,3,7,0.429,3,6,0.5,2,7,9,6,0,0,2,34,27.9,31
70,4/2/2017,32-093,CLE,IND,W (+5),51:39:00,16,29,0.552,3,10,0.3,6,12,0.5,4,10,14,11,2,1,1,41,38.3,-1
71,4/4/2017,32-095,CLE,ORL,W (+20),37:06:00,7,14,0.5,0,3,0,4,6,0.667,1,10,11,11,2,1,6,18,17.5,17
72,4/5/2017,32-096,CLE,BOS,W (+23),38:33:00,14,22,0.636,1,4,0.25,7,7,1,2,8,10,6,1,2,3,36,32.4,32
73,4/7/2017,32-098,CLE,ATL,L (-14),41:25:00,12,15,0.8,1,2,0.5,2,6,0.333,1,7,8,7,2,0,5,27,24.4,-15
74,4/9/2017,32-100,CLE,ATL,L (-1),46:50:00,11,21,0.524,1,3,0.333,9,10,0.9,3,13,16,10,1,0,3,32,29.9,1
1,10/17/2017,32-291,CLE,BOS,W (+3),41:12:00,12,19,0.632,1,5,0.2,4,4,1,1,15,16,9,0,2,4,29,28.2,2
2,10/20/2017,32-294,CLE,MIL,W (+19),37:25:00,10,16,0.625,2,4,0.5,2,2,1,1,4,5,8,1,1,5,24,20.6,13
3,10/21/2017,32-295,CLE,ORL,L (-21),31:12:00,8,15,0.533,1,3,0.333,5,6,0.833,0,4,4,2,1,1,1,22,17.6,-31
4,10/24/2017,32-298,CLE,CHI,W (+7),37:15:00,13,20,0.65,4,6,0.667,4,5,0.8,0,2,2,13,3,0,2,34,35.1,7
5,10/25/2017,32-299,CLE,BRK,L (-5),41:22:00,12,20,0.6,1,2,0.5,4,8,0.5,1,9,10,13,0,4,8,29,25.1,-2
6,10/28/2017,32-302,CLE,NOP,L (-22),30:46:00,6,11,0.545,1,3,0.333,5,6,0.833,0,3,3,8,0,0,4,18,13.6,-10
7,10/29/2017,32-303,CLE,NYK,L (-19),39:28:00,7,15,0.467,1,4,0.25,1,1,1,1,9,10,7,2,0,4,16,13.8,-17
8,11/1/2017,32-306,CLE,IND,L (-17),37:28:00,14,22,0.636,1,5,0.2,4,5,0.8,1,5,6,11,2,1,8,33,27,-12
9,11/3/2017,32-308,CLE,WAS,W (+8),42:41:00,23,34,0.676,2,4,0.5,9,9,1,5,6,11,7,3,2,3,57,53.2,6
10,11/5/2017,32-310,CLE,ATL,L (-2),40:35:00,10,17,0.588,0,3,0,6,6,1,2,3,5,13,1,2,6,26,24.3,-4
11,11/7/2017,32-312,CLE,MIL,W (+5),36:42:00,10,20,0.5,2,4,0.5,8,10,0.8,1,7,8,9,3,0,1,30,29.9,6
12,11/9/2017,32-314,CLE,HOU,L (-4),40:01:00,15,24,0.625,1,4,0.25,2,3,0.667,0,4,4,7,1,1,8,33,20,5
13,11/11/2017,32-316,CLE,DAL,W (+7),41:47:00,6,14,0.429,1,3,0.333,6,8,0.75,1,10,11,4,0,1,6,19,10.8,5
14,11/13/2017,32-318,CLE,NYK,W (+3),36:16:00,7,14,0.5,2,4,0.5,7,10,0.7,3,6,9,12,0,3,5,23,23.8,2
